facility_id,item_id,snapshot_date,on_hand_qty,on_hand_uom,stock_status,business_date,load_date,last_updated_at
FAC005,ITM029,2026-01-28,930,CASE,OUT,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC004,ITM032,2026-01-30,402,EACH,OK,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC005,ITM023,2026-01-29,428,EACH,LOW,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC002,ITM048,2026-01-26,93,CASE,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC001,ITM007,2026-01-31,533,EACH,LOW,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC002,ITM004,2026-01-26,675,EACH,LOW,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC004,ITM013,2026-01-25,873,EACH,OK,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC004,ITM025,2026-01-25,108,EACH,OK,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC002,ITM028,2026-01-31,882,CASE,LOW,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC004,ITM039,2026-01-28,717,EACH,LOW,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC001,ITM021,2026-01-26,961,EACH,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC001,ITM048,2026-01-28,237,CASE,LOW,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC005,ITM031,2026-01-27,212,EACH,OUT,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC003,ITM018,2026-01-29,267,EACH,LOW,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC002,ITM011,2026-02-01,558,CASE,LOW,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC002,ITM021,2026-01-25,735,CASE,LOW,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC004,ITM012,2026-01-30,429,EACH,OUT,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC005,ITM038,2026-01-31,65,EACH,OK,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC003,ITM027,2026-01-31,490,EACH,OUT,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC001,ITM035,2026-01-26,322,CASE,OUT,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC003,ITM043,2026-01-28,127,CASE,LOW,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC004,ITM031,2026-01-30,9,EACH,OK,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC003,ITM011,2026-02-01,462,EACH,OUT,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC004,ITM023,2026-01-25,31,EACH,LOW,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC003,ITM033,2026-01-25,954,CASE,LOW,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC001,ITM027,2026-02-01,431,EACH,OUT,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC005,ITM032,2026-01-28,225,CASE,LOW,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC002,ITM020,2026-02-01,302,CASE,OUT,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC002,ITM004,2026-01-30,144,CASE,LOW,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC001,ITM006,2026-01-26,135,CASE,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC003,ITM029,2026-01-27,179,EACH,OK,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC002,ITM008,2026-01-27,519,EACH,OUT,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC005,ITM041,2026-01-27,521,CASE,LOW,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC005,ITM009,2026-01-27,279,CASE,LOW,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC003,ITM002,2026-01-27,540,CASE,OK,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC001,ITM015,2026-01-29,202,CASE,LOW,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC002,ITM047,2026-01-30,544,EACH,LOW,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC005,ITM022,2026-01-30,577,CASE,LOW,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC001,ITM033,2026-01-26,323,EACH,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC003,ITM032,2026-01-25,394,CASE,LOW,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC004,ITM050,2026-01-29,525,EACH,OUT,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC001,ITM046,2026-01-26,1,EACH,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC002,ITM030,2026-01-31,719,CASE,LOW,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC004,ITM014,2026-01-25,51,EACH,OUT,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC003,ITM042,2026-01-30,99,CASE,OK,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC003,ITM033,2026-01-28,956,EACH,OUT,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC001,ITM024,2026-02-01,864,EACH,LOW,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC004,ITM044,2026-01-28,148,CASE,OK,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC005,ITM025,2026-01-31,661,EACH,OUT,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC002,ITM035,2026-01-30,507,EACH,OK,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC004,ITM046,2026-02-01,217,CASE,OUT,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC001,ITM035,2026-01-30,41,CASE,OUT,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC005,ITM029,2026-01-28,981,CASE,OUT,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC004,ITM011,2026-02-01,201,EACH,OK,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC005,ITM001,2026-02-01,436,CASE,LOW,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC002,ITM031,2026-01-28,391,CASE,LOW,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC004,ITM019,2026-01-29,658,EACH,LOW,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC001,ITM028,2026-01-25,292,EACH,OK,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC001,ITM029,2026-01-25,416,EACH,LOW,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC003,ITM008,2026-01-25,463,EACH,LOW,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC003,ITM033,2026-02-01,840,CASE,OK,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC004,ITM028,2026-01-29,285,CASE,OUT,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC002,ITM011,2026-01-28,-36,EACH,LOW,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC003,ITM009,2026-01-26,44,CASE,OUT,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC003,ITM018,2026-01-30,606,CASE,LOW,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC004,ITM048,2026-01-27,936,CASE,OUT,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC002,ITM028,2026-01-31,434,CASE,OUT,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC001,ITM045,2026-01-26,765,EACH,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC002,ITM037,2026-01-27,236,CASE,LOW,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC001,ITM016,2026-02-01,18,EACH,OK,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC004,ITM020,2026-02-01,431,CASE,LOW,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC003,ITM047,2026-01-31,850,CASE,LOW,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC002,ITM008,2026-01-30,652,CASE,OUT,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC003,ITM024,2026-01-28,933,EACH,OUT,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC003,ITM011,2026-01-29,512,EACH,OK,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC002,ITM032,2026-02-01,679,EACH,OUT,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC001,ITM041,2026-01-31,400,EACH,LOW,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC004,ITM011,2026-01-27,352,CASE,OUT,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC003,ITM022,2026-01-31,890,EACH,OUT,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC002,ITM019,2026-01-26,150,EACH,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC002,ITM006,2026-01-29,571,CASE,LOW,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC001,ITM015,2026-02-01,344,CASE,OK,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC003,ITM044,2026-01-25,713,CASE,OUT,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC004,ITM047,2026-01-26,277,EACH,LOW,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC004,ITM008,2026-02-01,965,EACH,LOW,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC002,ITM011,2026-01-29,366,CASE,OUT,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC002,ITM049,2026-01-25,234,CASE,OUT,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC003,ITM016,2026-01-27,68,EACH,OK,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC001,ITM013,2026-01-31,637,EACH,OUT,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC001,ITM045,2026-01-27,723,EACH,OUT,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC003,ITM050,2026-01-26,780,CASE,OUT,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC004,ITM003,2026-01-27,950,CASE,OK,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC004,ITM048,2026-01-28,354,CASE,LOW,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC005,ITM025,2026-01-29,436,CASE,LOW,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC001,ITM014,2026-01-26,401,CASE,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC003,ITM007,2026-01-25,662,CASE,LOW,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC004,ITM043,2026-02-01,834,CASE,OK,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC003,ITM026,2026-01-27,649,CASE,OK,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC004,ITM031,2026-01-25,387,EACH,OUT,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC002,ITM049,2026-01-30,837,CASE,LOW,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC005,ITM029,2026-02-01,100,EACH,OK,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC002,ITM013,2026-01-26,648,CASE,LOW,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC005,ITM005,2026-01-25,192,EACH,OUT,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC004,ITM009,2026-01-26,486,EACH,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC002,ITM002,2026-01-29,269,CASE,OK,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC004,ITM006,2026-01-31,679,EACH,OUT,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC002,ITM022,2026-01-29,676,EACH,LOW,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC003,ITM023,2026-01-28,578,EACH,OK,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC001,ITM050,2026-01-28,628,CASE,OK,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC003,ITM039,2026-01-27,325,EACH,LOW,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC002,ITM049,2026-01-30,223,CASE,LOW,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC002,ITM040,2026-01-27,541,EACH,LOW,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC005,ITM042,2026-01-26,139,CASE,LOW,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC001,ITM012,2026-01-29,583,EACH,OK,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC003,ITM001,2026-01-26,805,CASE,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC001,ITM042,2026-01-30,241,CASE,LOW,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC003,ITM015,2026-01-25,718,EACH,OK,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC003,ITM025,2026-01-30,161,CASE,LOW,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC002,ITM006,2026-01-25,789,CASE,OK,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC001,ITM040,2026-01-25,786,CASE,OUT,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC002,ITM006,2026-01-31,477,CASE,LOW,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC001,ITM036,2026-01-25,898,CASE,OK,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC002,ITM036,2026-01-29,539,CASE,LOW,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC005,ITM010,2026-01-28,375,CASE,OUT,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC004,ITM015,2026-01-29,790,EACH,OK,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC004,ITM048,2026-02-01,325,EACH,OUT,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC003,ITM045,2026-01-29,939,CASE,OUT,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC004,ITM020,2026-01-28,583,EACH,OUT,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC002,ITM016,2026-01-29,885,CASE,LOW,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC001,ITM001,2026-01-26,741,CASE,LOW,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC001,ITM017,2026-02-01,773,EACH,LOW,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC004,ITM012,2026-01-27,999,CASE,LOW,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC004,ITM022,2026-02-01,179,CASE,OK,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC004,ITM026,2026-01-30,371,CASE,OUT,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC001,ITM011,2026-01-29,712,CASE,OK,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC001,ITM044,2026-01-29,135,CASE,OUT,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC004,ITM041,2026-01-29,631,CASE,OUT,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC004,ITM037,2026-01-27,848,CASE,LOW,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC003,ITM002,2026-01-31,737,CASE,OUT,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC005,ITM035,2026-01-31,115,EACH,LOW,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC002,ITM044,2026-01-28,973,EACH,LOW,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC002,ITM001,2026-01-27,520,EACH,OUT,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC003,ITM042,2026-01-31,670,EACH,OUT,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC004,ITM031,2026-01-28,608,EACH,LOW,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC003,ITM007,2026-01-28,904,CASE,OUT,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC005,ITM027,2026-01-26,564,EACH,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC001,ITM050,2026-01-29,510,EACH,OK,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC001,ITM042,2026-01-28,305,CASE,LOW,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC002,ITM034,2026-01-27,210,EACH,OUT,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC001,ITM028,2026-01-25,303,EACH,OK,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC005,ITM015,2026-01-26,154,EACH,OUT,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC003,ITM047,2026-01-25,268,CASE,OUT,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC002,ITM017,2026-01-26,-17,EACH,LOW,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC002,ITM042,2026-01-30,980,CASE,OK,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC001,ITM024,2026-01-25,885,CASE,OUT,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC001,ITM026,2026-01-29,798,EACH,OK,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC003,ITM018,2026-01-30,672,CASE,OK,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC003,ITM033,2026-01-28,984,EACH,LOW,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC001,ITM029,2026-01-30,686,CASE,OUT,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC003,ITM022,2026-01-25,-42,EACH,LOW,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC005,ITM027,2026-01-29,635,EACH,OK,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC005,ITM035,2026-02-01,652,EACH,OK,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC005,ITM020,2026-01-26,69,EACH,LOW,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC001,ITM037,2026-01-30,483,EACH,OUT,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC004,ITM024,2026-01-28,521,EACH,LOW,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC004,ITM020,2026-01-27,623,CASE,OUT,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC004,ITM016,2026-01-25,986,EACH,LOW,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC003,ITM014,2026-01-31,628,CASE,LOW,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC003,ITM031,2026-01-28,320,EACH,OUT,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC004,ITM044,2026-01-27,911,CASE,OUT,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC004,ITM030,2026-01-28,124,CASE,OK,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC002,ITM039,2026-01-28,433,EACH,OK,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC005,ITM041,2026-01-26,507,EACH,OUT,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC001,ITM027,2026-01-26,489,CASE,LOW,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC003,ITM020,2026-01-26,601,CASE,OUT,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC005,ITM028,2026-01-31,156,CASE,OK,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC005,ITM040,2026-01-31,-35,EACH,LOW,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC005,ITM021,2026-01-29,920,CASE,OK,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC005,ITM013,2026-01-31,830,CASE,LOW,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC005,ITM048,2026-01-26,345,EACH,OUT,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC001,ITM031,2026-01-30,979,CASE,OUT,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC001,ITM007,2026-01-25,232,EACH,OUT,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC003,ITM038,2026-01-30,697,CASE,LOW,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC005,ITM043,2026-01-28,545,CASE,LOW,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC004,ITM028,2026-01-31,718,EACH,LOW,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC001,ITM043,2026-01-25,296,CASE,OUT,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC003,ITM029,2026-01-30,710,EACH,OK,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC001,ITM050,2026-01-31,54,EACH,LOW,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC003,ITM027,2026-01-26,971,CASE,LOW,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC003,ITM020,2026-01-30,796,CASE,OK,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC001,ITM015,2026-01-29,523,EACH,LOW,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC001,ITM041,2026-02-01,700,EACH,LOW,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC005,ITM009,2026-01-25,50,EACH,OUT,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC005,ITM034,2026-01-26,229,EACH,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC002,ITM016,2026-01-28,549,EACH,OUT,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC002,ITM015,2026-01-28,886,EACH,OUT,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC005,ITM044,2026-01-29,421,CASE,LOW,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC005,ITM014,2026-01-30,250,CASE,LOW,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC004,ITM032,2026-01-28,295,EACH,OK,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC002,ITM040,2026-01-27,258,EACH,LOW,2026-01-27,2026-02-01,2026-01-27 00:00:00
